horizon,linear,mlp,persistence,zero
1,0.0017427671410070377,-0.04249441597763621,-0.9705024922820925,0.0
5,-0.0025786017865378776,-0.17561496554015157,-0.9625253941258199,0.0
10,-0.006761593689539524,-0.3010832945190251,-0.9709207836403028,0.0
30,-0.016725754974210215,-0.4825008471057019,-1.0358837220789763,0.0
60,-0.08936881969718966,-0.6540440404986592,-1.0854067317631086,0.0
